Time	Potential 1	Potential 2	Potential 3	Potential 4
t	    Pot 1	    Pot 2	    Pot 3	    Pot 4	   
s	    V	        V	        V	        V	       
								
1300	1.273500	0.040293	1.709400	2.238100	
1310	1.269840	0.041514	1.708180	2.233210	
1320	1.266180	0.041514	1.704520	2.229550	
1330	1.262520	0.041514	1.699630	2.225890	
1340	1.258850	0.041514	1.695970	2.221000	
1350	1.255190	0.040293	1.692310	2.217340	
1360	1.251530	0.040293	1.688640	2.212450	
1370	1.247860	0.040293	1.684980	2.208790	
1380	1.244200	0.040293	1.681320	2.203910	
1390	1.239320	0.040293	1.677660	2.200240	
1400	1.235650	0.040293	1.672770	2.194140	
1410	1.230770	0.040293	1.669110	2.190480	
1420	1.227110	0.040293	1.665450	2.184370	
1430	1.222220	0.039072	1.659340	2.180710	
1440	1.218560	0.039072	1.655680	2.175820	
1450	1.213680	0.040293	1.650790	2.169720	
1460	1.208790	0.039072	1.645910	2.164840	
1470	1.202690	0.039072	1.641030	2.159950	
1480	1.195360	0.039072	1.634920	2.153850	
1490	1.186810	0.039072	1.627590	2.146520	
1500	1.178270	0.039072	1.619050	2.137970	
1510	1.169720	0.039072	1.610500	2.128210	
1520	1.161170	0.039072	1.600730	2.118440	
1530	1.152630	0.039072	1.593410	2.109890	
1540	1.144080	0.039072	1.584860	2.100120	
1550	1.135530	0.039072	1.573870	2.089130	
1560	1.125760	0.037851	1.564100	2.078140	
1570	1.118440	0.036630	1.555560	2.067160	
1580	1.108670	0.036630	1.544570	2.056170	
1590	1.098900	0.036630	1.532360	2.045180	
1600	1.087910	0.036630	1.522590	2.032970	
1610	1.079370	0.035409	1.512820	2.020760	
1620	1.069600	0.035409	1.503050	2.009770	
1630	1.061050	0.035409	1.492060	1.997560	
1640	1.050060	0.035409	1.481070	1.985350	
1650	1.037850	0.034188	1.470090	1.971920	
1660	1.026860	0.034188	1.456650	1.958490	
1670	1.014650	0.034188	1.444440	1.943830	
1680	1.003660	0.032967	1.431010	1.929180	
1690	0.992674	0.032967	1.417580	1.915750	
1700	0.980464	0.032967	1.404150	1.899880	
1710	0.968254	0.031746	1.389500	1.885230	
1720	0.956044	0.031746	1.374850	1.870570	
1730	0.945055	0.031746	1.360200	1.854700	
1740	0.931624	0.030525	1.346760	1.838830	
1750	0.919414	0.030525	1.332110	1.822950	
1760	0.908425	0.029304	1.317460	1.807080	
1770	0.894994	0.029304	1.304030	1.791210	
1780	0.884005	0.029304	1.290600	1.776560	
1790	0.871795	0.028083	1.275950	1.760680	
1800	0.860806	0.028083	1.262520	1.746030	
1810	0.848596	0.028083	1.249080	1.730160	
1820	0.837607	0.026862	1.234430	1.715510	
1830	0.826618	0.026862	1.221000	1.699630	
1840	0.815629	0.026862	1.208790	1.686200	
1850	0.804640	0.025641	1.195360	1.671550	
1860	0.793651	0.025641	1.183150	1.656900	
1870	0.783883	0.025641	1.170940	1.643470	
1880	0.772894	0.024420	1.157510	1.628820	
1890	0.761905	0.024420	1.144080	1.615380	
1900	0.753358	0.024420	1.131870	1.601950	
1910	0.743590	0.024420	1.119660	1.589740	
1920	0.733822	0.023199	1.107450	1.576310	
1930	0.724054	0.021978	1.096460	1.562880	
1940	0.714286	0.023199	1.083030	1.549450	
1950	0.704518	0.023199	1.070820	1.537240	
1960	0.695971	0.020757	1.058610	1.525030	
1970	0.686203	0.020757	1.047620	1.511600	
1980	0.677656	0.020757	1.034190	1.500610	
1990	0.667888	0.020757	1.024420	1.487180	
2000	0.659341	0.020757	1.010990	1.474970	
2010	0.650794	0.020757	0.998779	1.462760	
2020	0.642247	0.019536	0.989011	1.450550	
2030	0.633700	0.019536	0.976801	1.438340	
2040	0.625153	0.019536	0.965812	1.428570	
2050	0.616606	0.019536	0.953602	1.416360	
2060	0.608059	0.019536	0.942613	1.404150	
2070	0.598291	0.018315	0.930403	1.391940	
2080	0.590965	0.019536	0.918193	1.379730	
2090	0.582418	0.018315	0.905983	1.368740	
2100	0.575092	0.017094	0.894994	1.356530	
2110	0.566545	0.017094	0.884005	1.345540	
2120	0.559219	0.017094	0.871795	1.335780	
2130	0.551893	0.017094	0.862027	1.323570	
2140	0.544567	0.015873	0.852259	1.312580	
2150	0.538462	0.017094	0.840049	1.302810	
2160	0.531136	0.015873	0.830281	1.291820	
2170	0.525031	0.015873	0.820513	1.282050	
2180	0.518926	0.015873	0.809524	1.272280	
2190	0.511600	0.014652	0.799756	1.262520	
2200	0.505495	0.014652	0.791209	1.253970	
2210	0.499389	0.014652	0.781441	1.245420	
2220	0.493284	0.014652	0.772894	1.236870	
2230	0.485958	0.014652	0.761905	1.228330	
2240	0.478632	0.014652	0.749695	1.218560	
2250	0.471306	0.014652	0.739927	1.207570	
2260	0.465201	0.013431	0.728938	1.199020	
2270	0.457875	0.013431	0.716728	1.189260	
2280	0.451770	0.013431	0.706960	1.179490	
2290	0.445665	0.013431	0.695971	1.169720	
2300	0.439560	0.013431	0.686203	1.159950	
2310	0.434676	0.012210	0.677656	1.151400	
2320	0.428571	0.012210	0.669109	1.142860	
2330	0.423687	0.012210	0.658120	1.134310	
2340	0.418803	0.012210	0.649573	1.124540	
2350	0.412698	0.012210	0.641026	1.117220	
2360	0.407814	0.010989	0.633700	1.109890	
2370	0.404151	0.010989	0.625153	1.101340	
2380	0.399267	0.010989	0.616606	1.094020	
2390	0.394383	0.010989	0.608059	1.086690	
2400	0.389499	0.010989	0.600733	1.080590	
2410	0.384615	0.009768	0.592186	1.073260	
2420	0.378510	0.009768	0.583639	1.067160	
2430	0.374847	0.009768	0.577534	1.059830	
2440	0.371184	0.009768	0.570208	1.053720	
2450	0.366300	0.009768	0.562882	1.046400	
2460	0.362637	0.009768	0.555556	1.040290	
2470	0.358974	0.009768	0.548230	1.035410	
2480	0.355311	0.009768	0.543346	1.029300	
2490	0.352869	0.009768	0.537241	1.024420	
2500	0.349206	0.009768	0.529915	1.018320	
2510	0.346764	0.008547	0.523810	1.014650	
2520	0.343101	0.008547	0.518926	1.009770	
2530	0.340659	0.008547	0.512821	1.006110	
2540	0.338217	0.009768	0.507937	1.001220	
2550	0.335775	0.008547	0.503053	0.996337	
2560	0.333333	0.008547	0.498168	0.992674	
2570	0.330891	0.008547	0.493284	0.989011	
2580	0.328449	0.007326	0.488400	0.984127	
2590	0.326007	0.008547	0.484737	0.981685	
2600	0.323565	0.008547	0.481074	0.978022	
2610	0.322344	0.007326	0.476190	0.975580	
2620	0.319902	0.007326	0.472527	0.971917	
2630	0.318681	0.007326	0.470085	0.969475	
2640	0.317460	0.007326	0.465201	0.965812	
2650	0.315018	0.007326	0.462759	0.963370	
2660	0.313797	0.007326	0.457875	0.960928	
2670	0.312576	0.007326	0.454212	0.958486	
2680	0.311355	0.007326	0.452991	0.956044	
2690	0.308913	0.007326	0.449328	0.953602	
2700	0.307692	0.007326	0.448107	0.951160	
2710	0.306471	0.007326	0.444444	0.949939	
2720	0.305250	0.007326	0.442002	0.948718	
2730	0.304029	0.007326	0.438339	0.945055	
2740	0.302808	0.007326	0.435897	0.943834	
2750	0.301587	0.006105	0.434676	0.942613	
2760	0.300366	0.007326	0.432234	0.941392	
2770	0.299145	0.006105	0.429792	0.938950	
2780	0.297924	0.006105	0.427350	0.936508	
2790	0.297924	0.007326	0.427350	0.935287	
2800	0.296703	0.006105	0.423687	0.934066	
2810	0.295482	0.006105	0.421245	0.932845	
2820	0.295482	0.006105	0.420024	0.931624	
2830	0.296703	0.004884	0.420024	0.930403	
2840	0.312576	0.003663	0.427350	0.934066	
2850	0.328449	0.002442	0.437118	0.959707	
2860	0.340659	0.002442	0.445665	0.945055	
2870	0.349206	0.002442	0.457875	0.952381	
2880	0.357753	0.003663	0.468864	0.959707	
2890	0.366300	0.003663	0.479853	0.967033	
2900	0.373626	0.003663	0.496947	0.975580	
2910	0.382173	0.004884	0.510379	0.984127	
2920	0.390720	0.004884	0.526252	0.995116	
2930	0.399267	0.004884	0.544567	1.004880	
2940	0.409035	0.004884	0.564103	1.018320	
2950	0.418803	0.006105	0.582418	1.032970	
2960	0.428571	0.006105	0.600733	1.046400	
2970	0.439560	0.006105	0.620269	1.061050	
2980	0.450549	0.007326	0.641026	1.075700	
2990	0.461538	0.008547	0.661783	1.092800	
3000	0.473748	0.008547	0.683761	1.109890	
3010	0.485958	0.008547	0.705739	1.128210	
3020	0.496947	0.008547	0.726496	1.146520	
3030	0.509158	0.009768	0.749695	1.163610	
3040	0.522589	0.009768	0.771673	1.184370	
3050	0.536020	0.010989	0.792430	1.203910	
