Temperature	Germanium	Nickel	Copper
T	        R1	        R2	    R3
K	        au	        au	    au
207.814	    0.879768	0.596173	0.666425
206.716	    0.874048	0.576941	0.662787
205.617	    0.866412	0.576941	0.658104
204.518	    0.858777	0.576941	0.652902
203.297	    0.850189	0.576941	0.648739
202.076	    0.843515	0.55771	    0.644576
200.977	    0.83588	    0.55771	    0.640413
199.756	    0.829198	0.55771	    0.635731
198.535	    0.820609	0.55771	    0.631048
197.192	    0.811067	0.538479	0.62637
195.849	    0.802479	0.538479	0.620643
194.383	    0.792937	0.538479	0.615441
192.918	    0.784348	0.519247	0.609719
191.575	    0.775763	0.519247	0.603997
189.988	    0.766221	0.519247	0.598274
188.523	    0.756679	0.500016	0.592032
187.057	    0.747137	0.500016	0.58579
185.47	    0.738549	0.500016	0.579548
183.883	    0.728053	0.480784	0.573822
182.295	    0.718511	0.480784	0.56758
180.708	    0.709923	0.461553	0.561338
179.121	    0.699427	0.461553	0.555616
177.656	    0.690839	0.461553	0.549893
176.068	    0.681297	0.442322	0.543651
174.603	    0.67271	    0.442322	0.537929
173.016	    0.663168	0.442322	0.532203
171.551	    0.65458	    0.42309	    0.525961
169.963	    0.645992	0.42309	    0.520239
168.62	    0.637404	0.42309	    0.515036
167.155	    0.628817	0.403859	0.509314
165.69	    0.620229	0.403859	0.504112
164.347	    0.612595	0.403859	0.498909
162.882	    0.604007	0.384628	0.493187
161.538	    0.59542	    0.384628	0.487465
160.195	    0.58874	    0.384628	0.482262
158.974	    0.581107	0.384628	0.47706
157.631	    0.573473	0.365396	0.471858
156.288	    0.56584	    0.346165	0.467175
154.945	    0.558206	0.365396	0.461453
153.724	    0.550572	0.365396	0.456251
152.503	    0.543893	0.326933	0.451048
151.16	    0.536259	0.326933	0.446366
150.061	    0.52958	    0.326933	0.440643
148.718	    0.521947	0.326933	0.436481
147.497	    0.515267	0.326933	0.430758
146.276	    0.508588	0.326933	0.425556
145.055	    0.501908	0.307702	0.421394
143.834	    0.495229	0.307702	0.416191
142.857	    0.48855	    0.307702	0.411509
141.636	    0.48187	    0.307702	0.406307
140.415	    0.475191	0.307702	0.401625
139.194	    0.467557	0.288471	0.396422
137.973	    0.461832	0.307702	0.39122
136.874	    0.455153	0.288471	0.386017
135.653	    0.449428	0.269239	0.381335
134.554	    0.442748	0.269239	0.376653
133.578	    0.437023	0.269239	0.371451
132.357	    0.431298	0.269239	0.367289
131.258	    0.425573	0.250008	0.363127
130.281	    0.420802	0.269239	0.357925
129.182	    0.415076	0.250008	0.353763
128.205	    0.410305	0.250008	0.349601
127.228	    0.405534	0.250008	0.344919
126.252	    0.399809	0.230777	0.340757
125.397	    0.395038	0.230777	0.337115
124.542	    0.390267	0.230777	0.332953
123.687	    0.385496	0.230777	0.329311
122.833	    0.37977	    0.230777	0.324629
121.856	    0.374045	0.230777	0.319427
120.757	    0.36832	    0.230777	0.315265
119.902	    0.363549	0.211545	0.310583
118.926	    0.357824	0.211545	0.30538
117.949	    0.353053	0.211545	0.301219
116.972	    0.348282	0.211545	0.296536
115.995	    0.343511	0.211545	0.292375
115.14	    0.339694	0.192314	0.288733
114.286	    0.334923	0.192314	0.285091
113.431	    0.331106	0.192314	0.280409
112.454	    0.32729	    0.192314	0.276767
111.722	    0.322519	0.192314	0.273126
110.989	    0.318702	0.173082	0.270004
